feature,mean,lowerCI,mean_criteria,lowerCI_criteria
Grade.8.ELA...Read.Literary.Texts..IAB.,0.013012171018351894,0.010594296624884402,TRUE,TRUE
Math.Summative.Grade.11,0.015592797366539273,0.012615905318034158,TRUE,TRUE
Math.Summative.Grade.7,0.014039466167726137,0.01135613494858748,TRUE,TRUE
Math.Summative.Grade.8,0.020271933774764463,0.015790794688420186,TRUE,TRUE
SchoolName,0.011755366718318767,0.010613923331176747,TRUE,TRUE
AmericanIndianOrAlaskaNative,0.007447093451467311,0.007071953343862773,TRUE,FALSE
Asian,0.006043643343755832,0.0052036903850185235,TRUE,FALSE
BlackOrAfricanAmerican,0.007421409537958131,0.007063412103375851,TRUE,FALSE
CAST.Summative.Grade.8,0.01202429872566451,0.00965283859815229,TRUE,FALSE
CAST.Summative.Grade.HS,0.007478089650219097,0.006169541356773215,TRUE,FALSE
CSA.Summative.Grade.HS,0,0,FALSE,FALSE
EnglishLanguageAcquisitionStatus,0.005433692962461697,0.004990388492478659,TRUE,FALSE
Filipino,0.0063715750710628466,0.005866002648938464,TRUE,FALSE
Grade.11.12.ELPAC.IA.Listening.I,0.006135775673466429,0.005612759306191672,TRUE,FALSE
Grade.11.12.ELPAC.IA.Reading.I,0.006550816413235353,0.0058451493884844755,TRUE,FALSE
Grade.11.12.ELPAC.IA.Speaking.I,0.004912453813329823,0.0036246440752166114,FALSE,FALSE
Grade.11.ELA...Interim.Comprehensive.Assessment..ICA.,0.007431641280016538,0.007061801555823557,TRUE,FALSE
Grade.11.MATH...Interim.Comprehensive.Assessment..ICA.,0.0073197298768570875,0.006973352797637772,TRUE,FALSE
Grade.4.ELA...Listen.Interpret..FIAB.,0,0,FALSE,FALSE
Grade.4.ELA...Research..Use.Evidence..FIAB.,0.005364480337172843,0.00440880833439554,TRUE,FALSE
Grade.4.MATH...Number.and.Operations.in.Base.Ten..IAB.,0,0,FALSE,FALSE
Grade.5.ELA...Language.and.Vocabulary.Use..FIAB.,0,0,FALSE,FALSE
Grade.5.ELA...Listen.Interpret..FIAB.,0.0050055331842483375,0.0035906408037981695,TRUE,FALSE
Grade.5.ELA...Read.Literary.Texts..IAB.,0,0,FALSE,FALSE
Grade.5.MATH...Convert.Measurements..FIAB.,0,0,FALSE,FALSE
Grade.5.MATH...Geometry..FIAB.,0.0063837669922841775,0.005295704519900931,TRUE,FALSE
